,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
5757,s5745,TV Show,Making the Cut,,"Heidi Klum, Tim Gunn, Winnie Harlow, Jeremy Scott",United States,2021,13+,2 Seasons,"Special Interest, Unscripted","In the second season of Making the Cut, Heidi Klum and Tim Gunn welcome 10 established designers from around the world to Los Angeles, CA where they compete to become the next global fashion brand. Each week, winning looks will be available to buy on Amazon in the Making the Cut store, and the last designer standing will receive one million dollars to invest in their brand."
5783,s5773,Movie,The Map of Tiny Perfect Things,Ian Samuels,"KATHRYN NEWTON, KYLE ALLEN, AL MADRIGAL, JERMAINE HARRIS, ANNA MIKAMI, JOSH HAMILTON, CLEO FRASER, JORJA FOX",United States,2021,PG-13,99 min,"Comedy, Romance, Young Adult Audience","Quick-witted teen Mark (Kyle Allen) is contentedly living the same day in an endless loop when his world is turned upside-down by the mysterious Margaret (Kathryn Newton), also stuck in the same loop. What follows is a love story with a fantastical twist, as the two struggle to figure out how – and whether – to escape their never-ending day."
5795,s5785,Movie,Sound of Metal,Darius Marder,"Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",United States,2020,R,121 min,Drama,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew."
5823,s5813,Movie,Jungle,Greg McLean,"Daniel Radcliffe, Thomas Kretschmann, Joel Jackson, Yasmin Kassim","Australia, Colombia, United Kingdom",2017,R,116 min,Action,"A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be."
5830,s5820,Movie,Duniyadari,Sanjay Jadhav,"Swapnil Joshi, Sai Tamhankar, Ankush Chaudhari, Urmilla Kanetkar, Jitendra Joshi, Sushant Shellar, Richa Pariyalli, Sandeep Kulkarni, Anand Abhyankar, Nagesh Bhonsle, Shrirang Deshmukh, Ajinkya Joshi, Varsha Usgaonkar, Rajesh Bhosle",India,2013,13+,146 min,Romance,"A young man in his 20s who is caught up in a bitter relationship with his parents. In spite of having all materialistic pleasures he craves for something better in his life. The void in his life is filled by the Digya gang he meets on college katta, soon comes bliss in his life in form of two beautiful girls. Life teaches Shreyas to face facts, through his friends and people around him."
5841,s5831,Movie,Aashiqui,Mahesh Bhatt,"Rahul Roy, Anu Aggarwal, Avtar Gill, Tom Alter, Reema Lagoo, Homi Wadia, Mushtaq Khan, Javed Khan, Deepak Tijori, Anang Desai, Veerendra Saxena, Sunil Rege, Deepa Mehta",India,1990,G,145 min,"Drama, International, Romance",A small-time singer struggling for a break gets his share of fame when his girlfriend becomes a successful model. Their relationship suffers when he begins to feel burdened by her popularity.
5859,s5849,Movie,New York,Kabir Khan,"John Abraham, Katrina Kaif, Neil Nitin Mukesh, Irrfan Khan, Nawazuddin Siddiqui, Ali Quli Mirza, Rizwan A. Alvi, Samrat Chakrabarti, Brian Dawson, Andrew Flihan, Obaid Kadwani, Dustin Kerns, Ginger Kroll, Rodger Parsons, Cody Ross Pitts, Justin Stern, Aidan Wagner, David Winning, Damon Zarro","India, United States",2009,13+,151 min,"International, Suspense","NEW YORK is a contemporary story of 3 young friends (John Abraham, Katrina Kaif and Neil Nitin Mukesh) set against the larger than life backdrop of NYC, whose beautiful lives are turned upside down by the larger event of 9/11. Enter Agent Roshan (Irrfan), a FBI undercover agent who sets the ball rolling for a set of events that turn the lives of these friends into a thrilling roller coaster ride."
5876,s5865,Movie,Be Dune Saade Chaar,Girish Mohite,"Mohan Joshi, Sai Tamhankar, Sanjay Narvekar, Atul Parchure, Vandana Gupte, Mugdha Shah, Sushant Shelar, Resham Tipnis, Satish Phulekar, Uday Sabnis, Sneha Wagh",India,2009,G,132 min,Comedy,"Anant Kitturkar (Mohan Joshi) has actually achieved the extraordinary feat of marrying two women - Manorama (Vandana Gupte) and Anjali (Mugdha Shah) - who are unaware of each other's existence. Lies, deceit and fake identities have made Anant confident that this secret will go with him to his grave. But there's something else in store for him. And now it's pay-off time."
5881,s5870,Movie,Aalas Motaapa Ghabraahat,Omar Iyer,Karunesh Talwar,India,2021,16+,52 min,Comedy,"Karunesh Talwar is his usual annoyed self in his second stand up special. The whole show is about the relationships he shares with his parents & girlfriend, an attempt at self-awareness & the fact that we’re all just modified versions of our parents. Written during the Covid lockdown and workshopped on Zoom shows, this special is different from any hour of comedy he’s come up with before."
5884,s5873,Movie,Tula Shikwin Changlach Dhada,Girish Mohite,"Makarand Anaspure, Sanjay Narvekar, Rujuta Deshmukh, Kadambari Kadam, Mohan Joshi, Uday Sabnis, Jaywant Wadkar, Saurabh Parakhe, Vikas Samudre",India,2007,G,152 min,Comedy,A struggling actor (Sanjay Narvekar) falls in love with a woman (Rujuta Dehmukh) and marries her without realizing that her uncle (Mohan Joshi) is the director who had rejected him. He then comes up with a plan to teach him a lesson.
5914,s5901,Movie,Ungli,Renzil D'Silva,"Emraan Hashmi, Kangana Ranaut, Sanjay Dutt, Randeep Hooda, Angad Bedi, Kader Khan",India,2014,13+,114 min,"Comedy, Drama, Suspense","Fed up with the corruption that was prevalent in the government entities, four ordinary friends band together to form the Ungli gang, aiming to cleanse Mumbai of crime. Consisting of Kalim(Angad Bedi), Gautam(Neil Bhoopalam), Maya(Kangana Ranaut) and Abhay(Randeep Hooda), they target people in the criminal regime and enforce their brand of justice on them, always staying a step ahead of police."
5933,s5919,Movie,Sharing the Secret,Katt Shea,"Mare Winningham, Alison Lohman, Diane Ladd, Mary Crosby, Lawrence Monoson, Camryn Grimes, Tim Matheson",United States,2000,16+,90 min,"Drama, Young Adult Audience","Troubled by her parents' recent divorce, Beth Moss turns to bulimia in order to gain control over one aspect of her life. As she increases the frequency of her purges, her health deteriorates and her compulsions severely worry her friends and family, who only wish for her to recover."
5934,s5920,Movie,Shaandaar,Vikas Bahl,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor, Niki Aneja Walia, Sanah Kapoor, Sushma Seth, Karan Johar, Vikas Verma, Shibani Dandekar, Anjana Sukhani, Tessa Vellara, Teena Vellara",India,2015,13+,143 min,"Comedy, Drama, Romance","A young wedding planner, Jagjinder Joginder (Shahid Kapoor), brings together Bipin Arora's flawed family in the backdrop of a destination wedding in London for his eldest daughter, while both the families try to save their empires. Will the Shaandar wedding succeed and also help the families save their dignifies empires."
5935,s5921,TV Show,Sergio Ramos,,"Sergio Ramos, Pilar Rubio",Spain,2021,16+,2 Seasons,"Sports, Unscripted","Legends define themselves for who they have been, but also for who they are and who they will be. We are going to relive the great sporting milestones of a unique career, as we accompany Sergio in one of the strangest, most complicated seasons in soccer history. An opportunity to meet the legend, but also the person behind it, who’s already beginning to imagine life after soccer."
