,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
2521,s2512,Movie,Falaknuma Das,Vishwak Sen,"Vishwak Sen, Saloni Mishra, Harshita Gaur, Vivek Tony, Uttej",India,2019,18+,145 min,"Action, Drama, International","A group of youngsters led by Das establish themselves as the top gang in Falaknuma. However, their attempts to monopolise the meat business in the area leads to some unexpected consequences and drives them down a path of violence."
2532,s2523,Movie,F2 - Fun and Frustration,Anil Ravipudi,"Venkatesh, Varun Tej, Tamannaah, Mehreen Pirzada",India,2019,13+,148 min,"Comedy, International","After Venky, Varun also gets married thinking he can keep the wife in control but both of them gets frustrated with the marital life which generates fun."
2544,s2535,Movie,Everybody's Game,Beno Obano,"Maro Itoje, Beno Obano, Anthony Watson, Ellis Genge, Biyi Alo",United Kingdom,2020,16+,53 min,Documentary,"Coming from the most unlikely of rugby playing backgrounds these athletes share their experience rising through the ranks in rugby and how this sport that many of their peers have never heard of, has now become their livelihood."
2548,s2539,Movie,ETs Among Us: UFO Witnesses and Whistleblowers,Cybela Clare,"JIM MARRS, PAUL HELLYER, CLIFFORD STONE, NICK POPE, DAVID JACOBS, WENDELLE C. STEVENS, MICHAEL SALLA, JACQUES VALLEE, RICHARD DOLAN, DAVID HATCHER CHILDRESS",United States,2016,13+,91 min,Special Interest,"This documentary exposes political motivations for the government's coverup of UFO phenomena: underground bases, reverse engineering of crashed UFOs, NASA's shocking evidence of intelligent alien life, and a history of an ongoing alien presence on Earth."
2549,s2540,Movie,"ETs Among Us 2: Our Alien Origins, Antarctica, Mars and Beyond",Cybela Clare,"Linda Moulton Howe, Nick Pope, Richard Dolan, Robert Morningstar, Debbie Ziegelmeyer, Len Kasten",United States,2018,7+,55 min,Special Interest,"This sequel to the award-winning ""ETs Among Us"" covers uncharted territory: history of Antarctica and ongoing UFO connections, secret history of Mars and parallels with Moon and Antarctica, underwater ET bases, and our extraterrestrial origins. Award-winning researcher Linda Moulton Howe exposes shocking revelations of a secret Navy whistleblower."
2563,s2554,Movie,Enai Noki Paayum Thota,Gautham Menon,"Dhanush, Megha Akash, Sasikumar",India,2019,16+,151 min,"Action, Suspense",A college student gets dragged into chaos when he falls in love with a girl. What starts as a whirlwind romance pulls the protagonist into controversies that changes the course of his life.
2577,s2568,TV Show,El Presidente,,"Andrés Parra, Paulina Gaitán, Karla Souza","Chile, Argentina, United States",2020,16+,1 Season,"Action, Drama, International","Sergio Jadue, a lowly director of a small-town soccer club in Chile, unexpectedly finds himself at the head of the Chilean soccer association. Drunk with power, he becomes the protégé of soccer godfather Julio Grondona, as well as the FBI’s key to undoing the largest corruption scheme in the world of soccer."
2579,s2570,TV Show,El Candidato,,"James Purefoy, Erendira Ibarra, José María de Tavira, Joaquín Cosío, Esmeralda Pimentel",Mexico,2020,TV-MA,1 Season,"Action, Drama","In ""El Candidato,"" rookie CIA field operative Isabel Alfaro works alongside infamous CIA legend Wayne Addison to bring down Rafael Bautista, Mexico's most vicious and brilliant narco. Her mission brings her into conflict with Eduardo Yzaguirre, her former boyfriend and the current Mayor of Mexico City, the cleanest and most inspirational politician in the country."
2595,s2586,TV Show,Eat. Race. Win.,,"Hannah Grant, Matthew White",United States,2018,13+,1 Season,"Documentary, Special Interest, Sports","EAT. RACE. WIN. is a behind-the-scenes adventure into the biggest annual sporting event on the planet: The Tour de France. The Queen of Performance Cooking, Chef Hannah Grant, takes you on her race within the race as she sources performance food for Australia’s pro cycling team, Orica-Scott. Hannah shows us exactly what it takes to perform at the edge of human endurance for 21 race days."
2608,s2599,Movie,DSP DEV,Mandeep Benipal,"Dev Kharoud, Mehreen Pirzada, Manav Vij, Aman Dhaliwal, Girija Shankar, Shavinder Mahal, Nita Mohindra, Tarsem Paul",India,2019,13+,141 min,"Action, Drama, Suspense",DSP Dev is a corrupt officer who enjoys all the perks of being an immoral and unethical police officer. His world is shaken when he discovers the mystery behind his father's death and the culprits behind it. The film also revolves around the drug mafia prevalent in the state of Punjab and how politics is entangled in the whole business.
2613,s2604,Movie,Drishyam 2,Jeethu Joseph,"Mohanlal, Meena, Siddique, Murali Gopy, Asha Sharath, Ganesh Kumar, Ansiba, Esther Anil, Anjali Nair, Saikumar, Antony Perumbavoor",India,2021,13+,153 min,Drama,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
2650,s2640,Movie,DocoBanksy,Dominic Wade,"Kate Brindley, Robbie Conal, Simon Hattenstone, Ivan Massow","United Kingdom, United States",2014,18+,59 min,Documentary,"From the UK streets, DocoBanksy finds the truths and explores the impact that Bansky, the world's most famous graffiti artist, has had on the art world, on the expression of protest and satire, and on the perception of what you can do with a spray can and a stencil. Plus, take a look inside the highly active art collector's world and the shocking influence of celebrity."
2668,s2659,TV Show,Dino Dana,,"Michela Luci, Saara Chaudry, Amish Patel","Canada, United States",2020,G,4 Seasons,Kids,Dana is a 9-year old girl who loves dinosaurs and spends all of her time learning about them. After receiving a book she discovers she can see Dinosaurs in real life.
2683,s2674,Movie,Dhoom,Sanjay Gadhvi,"John Abraham, Abhishek Bachchan, Uday Chopra, Rimi Sen, Esha Deol, Manoj Joshi",India,2004,13+,129 min,"Action, International","""The tale begins in Mumbai where a gang of robbers is sweeping through the city. Officer Jai Dixit (Abhishek Bachchan) is brought in on the case and he is on the trail of the robbers - a gang headed by Kabir (John Abraham). Jai ropes in the services of Ali (Uday Chopra), a happy garage mechanic and a prodigious biker. With fast bikes, big action, DHOOM reinvents the classic cops and robbers tale."
2684,s2675,Movie,Dhadak,Shashank Khaitan,"Janhvi Kapoor, Ishaan Khattar, Ashutosh Rana, Aditya Kumar, Kharaj Mukherjee",India,2018,13+,137 min,"Drama, International","Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings."
2698,s2691,Movie,Death of a Child,"Frida Barkfors, Lasse Barkfors",,"Denmark, Sweden, United States",2017,13+,79 min,Documentary,"Having a child die is the worst thing imaginable - but what if you are responsible? With a sympathetic and unobtrusive approach, this poignant doc explores the stories of parents who have undergone this trauma. Grappling with their own guilt, lengthy legal battles and the wrath of the public eye, these parents open up about their unthinkable tragedy."
2701,s2694,Movie,Dear Comrade,Bharat Kamma,"Vijay Deverakonda, Rashmika Mandanna",India,2019,13+,167 min,"Action, Drama, Romance","Dear Comrade is an intense love story between Bobby (Vijay Deverakonda), a student union leader and Lily (Rashmika Mandanna) a state-level cricketer. Bobby has anger management issues, which he needs to overcome and fight for his love."
2712,s2706,TV Show,De la vida al plato,,"Juan Echanove, Alberto Fernández Bombín, Joan Roca, Armando del Rey, Luis Alberto Lera, Paco Morales, Bittor Arginzoniz, Pepe Solla, Francis Paniego, Ricardo Camarena",Spain,2020,TV-G,1 Season,"Documentary, Special Interest","We are going to delve into the haute cuisine, together with the actor Juan Echanove. From Amazon Prime Video, we have booked in 8 different restaurants with an unquestionable high standing. In each episode, we’ll get to know their history and their style and ways of making their particular cuisine"
2716,s2710,Movie,Dawn Rider,Terry Miles,"Christian Slater, Jill Hennessey, Donald Sutherland",Canada,2012,18+,94 min,"Action, Drama, Western","When the father of gunslinger John Mason is shot to death by masked bandits, Mason sets out with guns blazing to track down those who killed him. During his quest, he finds himself involved in a grim love triangle when he falls for Alice. Based on the timeless John Wayne adventure, Dawn Rider is a riveting saga of retribution, duty and valor in the American West."
2736,s2729,TV Show,Danger & Eggs,,"Aidy Bryant, Eric Knobel",United States,2017,7+,1 Season,"Comedy, Kids","Danger & Eggs follows the endless adventures of a fearless, teal-haired girl named D.D. Danger (voiced by SNL's Aidy Bryant) and her ever cautious best friend, a giant talking egg named Phillip. Together, join this buddy system as they explore an underground laboratory, meet a tech-savvy raccoon, and find moments of heart in the smallest bite of broccoli."
2765,s2758,TV Show,Crisis in Six Scenes,,"Woody Allen, Miley Cyrus, Elaine May",United States,2016,13+,1 Season,"Comedy, Historical",This is a comedy that takes place in the 1960's during turbulent times in the United States and a middle class suburban family is visited by a guest who turns their household completely upside down.
2766,s2759,Movie,Crips and Bloods: Made in America,Stacy Peralta,"Jim Brown, Forest Whitaker",United States,2008,16+,94 min,Documentary,"With a first-person look at the notorious Crips and Bloods, this film examines the conditions that have lead to decades of devastating gang violence among young African Americans growing up in South Los Angeles."
2796,s2789,Movie,Coolie No. 1,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",India,2020,13+,135 min,"Comedy, Drama","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire. Soon Raju’s real indentity is exposed but he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go out of hand."
2797,s2790,Movie,Cool World,Ralph Bakshi,"Kim Basinger, Gabriel Byrne, Brad Pitt, Michele Abrams",United States,1992,PG-13,102 min,"Action, Animation, Fantasy","When Jack Deebs was behind bars he found escape by creating Cool World, a cartoon series featuring a vixen named Holli Would. The flesh proves weaker than ink, however, as Holli takes human form in Las Vegas."
2810,s2803,TV Show,Comicstaan Semma Comedy Pa,,"Karthik Kumar, Praveen Kumar, Rajmohan Arumugam, Vidyullekha Raman, Mervyn Rozz, Abishek Kumar, Annamalai Lakshmanan, Karthigeyan Durai, Mayandi Karunanithi, Syama Harini, Yogesh Jagannathan",India,2020,13+,1 Season,Comedy,"Aspiring comedians compete to become the future of funny in Tamil stand-up comedy. Mentored by the biggest Tamil comedians, find out who will be crowned the winner of Comicstaan Semma Comedy Pa!"
2811,s2804,TV Show,Comicstaan,,"Zakir Khan, Kenny Sebastian, Biswa Kalyan Rath, Abish Matthew, Kanan Gill, Kaneez Surka, Neeti Palta, Sumukhi Suresh, Urooj Ashfaq",India,2019,16+,2 Seasons,"Arts, Entertainment, and Culture, International, Unscripted","Comicstaan is back with a brand new season! New Contestants, New Judges, New Everything. Find out who will be this year’s next big comic sensation! Watch new episode every Friday."
2817,s2810,Movie,Coldplay: A Head Full Of Dreams,Mat Whitecross,"Guy Berryman, Jonny Buckland, Will Champion, Chris Martin",United Kingdom,2018,PG-13,105 min,"Documentary, Music Videos and Concerts",Long-term Coldplay collaborator Mat Whitecross blends spectacular live performances with exclusive band interviews and a huge array of previsouly-unseen archive footage to produce ‘A Head Full Of Dreams’- The definitive story of one of the world’s biggest bands.
2843,s2836,Movie,City of Ghosts,Matthew Heineman,,United States,2017,R,92 min,Documentary,City of Ghosts follows the journey of “Raqqa is Being Slaughtered Silently” – a handful of anonymous activists who banded together after their homeland was taken over by ISIS in 2014.
2857,s2850,TV Show,Chris Tall Presents...,,Chris Tall,Germany,2019,16+,1 Season,"Arts, Entertainment, and Culture, Comedy","Six episodes, six comedians, one host. Each episode of Chris Tall Presents… features one of six up-and-coming stand-up comedians as well as brand new material by Chris Tall."
